,DATE (YYYY/MM/DD),MST,Global CMP22 (vent/cor) [W/m^2],Direct sNIP [W/m^2],Azimuth Angle [degrees],Tower Dry Bulb Temp [deg C],Tower Wet Bulb Temp [deg C],Tower Dew Point Temp [deg C],Tower RH [%],Peak Wind Speed @ 6ft [m/s],Avg Wind Direction @ 6ft [deg from N],Station Pressure [mBar],Precipitation (Accumulated) [mm],Moisture,Albedo (CMP11),Cloud Type,Solar Zenith Angle,Snow Depth [cm]
14,2020/02/25,14:45,353.514,75.8252,224.33692,-4.83,-7.462000000000001,-13.662,45.78,7.2,25.91,824.8839999999999,0.0,0.0,0.2386,1,104.3,4.525
15,2020/02/26,17:33,13.3616,-0.286838,256.89594,2.745,-2.233,-10.933,32.08,6.45,277.1,819.7410000000001,0.0,0.0,0.1057,0,87.58,2.94
16,2020/07/01,21:41,-1.6518,0.004938,325.17253,22.62,10.402,-0.3979999999999999,21.53,2.7,188.2,817.3430000000001,0.0,0.0,0.0,3,74.3,0.66
17,2020/05/06,07:58,579.961,853.275,95.91182,10.35,4.68,-1.32,43.56,2.95,107.0,823.982,0.0,0.0,0.2114,0,87.24,0.813
18,2020/10/22,06:49,5.46764,0.325886,108.95244,0.473,0.407,0.307,98.8,1.45,18.24,811.465,0.0,0.0,0.2793,0,75.25,-0.108
19,2020/09/17,17:29,51.6375,84.7698,267.22066,24.52,10.226,-3.464,14.86,0.95,37.65,822.174,0.0,0.0,0.1539,0,149.55,-0.1989999999999999
20,2020/04/28,09:12,806.0160000000001,994.761,112.93794,19.09,6.859,-7.241,14.97,3.45,295.8,817.573,0.0,0.0,0.1861,0,63.45,0.986
21,2020/04/20,20:01,-1.04465,-0.356098,299.43743,11.35,4.565,-2.935,35.6,1.7,27.96,816.363,0.0,0.0,0.0,0,127.53,1.072
22,2020/05/28,15:18,712.9730000000001,820.096,262.11131,20.2,13.729,9.829,51.28,1.2,69.32,823.258,0.0,0.0,0.1819,3,57.54,1.294
23,2020/10/05,23:39,-1.72188,-0.301193,355.71893,13.06,4.575,-5.525,25.52,1.95,275.3,822.7310000000001,0.0,0.0,0.0,0,138.74,-0.3339999999999999
24,2020/10/29,04:36,-1.3268,0.06419,89.95806999999999,2.145,-0.252,-3.152,65.87,0.0,0.0,820.6360000000001,0.0,0.0,0.0,4,127.09,0.177
25,2020/09/05,19:43,-1.92793,-0.0493759999999999,292.10956,28.33,12.214,-1.586,13.9,3.95,299.8,821.7280000000001,0.0,0.0,0.0,1,95.62,-0.311
26,2020/01/27,21:03,-0.716719,-0.024727,283.39728,3.639,-1.706,-10.706,30.73,6.2,300.6,815.924,0.0,0.0,0.0,0,35.86,0.407
27,2020/05/21,06:42,349.802,830.801,80.65798000000001,12.07,4.803999999999999,-3.096,33.49,2.2,237.6,815.199,0.0,0.0,0.2372,0,152.67,0.622
28,2020/05/16,13:23,978.059,961.847,228.40604,19.02,10.303,3.403,35.44,1.7,162.6,816.5310000000001,0.508,0.0,0.1603,7,115.88,1.597
29,2020/07/10,11:19,1014.79,982.364,146.89598999999998,32.74,14.47,0.77,13.03,2.95,123.4,820.1619999999999,0.0,0.0,0.1727,0,125.65,1.281
30,2020/02/25,01:53,-0.688772,0.2126559999999999,42.62836,-4.138999999999999,-7.223,-14.923,38.43,4.45,279.3,815.63,0.0,0.0,0.0,0,150.55,4.808
31,2020/05/21,09:51,919.779,1006.36,116.31255,17.36,7.096,-3.684,22.65,3.95,105.3,813.75,0.0,0.0,0.1708,7,88.4,1.211
32,2020/08/02,21:17,-1.32495,-0.197507,316.53156,20.78,12.284,6.484,39.41,3.45,299.5,821.645,0.0,0.0,0.0,0,158.51,-0.171
33,2020/11/25,23:38,-1.2918,0.118505,352.70578,3.064,-0.562,-5.2620000000000005,51.56,0.0,0.0,812.168,0.0,0.0,0.0,7,126.5,6.904
34,2020/05/29,10:38,972.562,953.274,130.5604,24.09,16.598,12.798,49.27,3.45,37.94,821.534,0.0,0.0,0.1534,0,48.75,1.275
35,2020/08/27,01:11,-1.63999,-0.256755,21.68472,18.89,12.488,8.288,50.13,2.7,281.5,816.7389999999999,0.0,0.0,0.0,6,70.08,-0.21
36,2020/10/27,03:46,-1.08834,0.3653909999999999,80.94975,-6.924,-8.656,-13.056,57.95,2.2,248.5,817.955,0.0,0.0,0.0,0,14.98,8.57
37,2020/02/26,13:39,291.159,4.57951,207.05075,4.534,-1.15,-10.55,29.26,4.2,292.6,819.933,0.0,0.0,0.1825,0,146.8,4.138999999999999
38,2020/01/02,07:12,0.5042270000000001,-0.029673,118.08699,-0.049,-4.168,-12.068,35.43,3.2,284.7,805.793,0.0,0.0,0.0,0,151.88,0.382
39,2020/05/20,03:48,-1.24617,-0.083941,53.57885,17.58,10.563,5.363,44.51,0.95,142.2,811.1189999999999,0.0,0.0,0.0,0,46.76,0.8170000000000001
40,2020/11/24,14:22,347.631,858.7439999999999,218.24673,2.551,-1.386,-6.986000000000001,46.08,1.45,288.2,813.169,10.41,0.0,0.796,8,22.79,11.11
41,2020/12/07,06:51,-0.645412,-0.054314,116.54464,4.672,-1.703,-13.903,21.39,3.95,278.2,825.6239999999999,0.0,0.0,0.0,4,95.54,0.182
42,2020/09/15,11:00,810.4169999999999,751.3660000000001,157.66147,28.75,11.880999999999998,-3.399,11.65,5.45,82.8,822.538,0.0,0.0,0.1874,8,80.79,0.008
43,2020/10/08,15:05,378.361,592.716,236.44393,26.93,9.988,-8.012,8.71,1.95,36.28,814.681,0.0,0.0,0.2368,7,46.95,0.1639999999999999
44,2020/07/26,08:33,277.592,9.13477,97.89112,23.44,14.858,9.858,42.16,2.7,25.31,821.798,0.0,0.0,0.155,6,42.94,1.074
45,2020/06/17,02:53,-1.27019,-0.1481299999999999,40.29525,16.68,9.377,3.377,40.99,1.45,253.2,812.6560000000001,0.0,0.0,0.0,0,152.61,0.767
46,2020/05/11,04:01,-0.692397,-0.237388,57.32327,0.955,-0.41,-2.01,78.97,2.7,25.96,818.7230000000001,0.0,0.0,0.0,0,57.85,0.913
47,2020/08/17,19:13,-1.6957,-0.2123159999999999,290.92551000000003,27.4,13.711,4.011,22.3,2.95,31.98,823.668,0.0,0.0,0.0,0,111.5,-0.34
48,2020/02/24,15:01,512.706,968.375,227.7948,0.423,-3.913,-12.613,32.57,7.45,293.6,813.0269999999999,0.0,0.0,0.2691,0,85.7,4.882
49,2020/04/09,08:19,534.7819999999999,895.822,106.996,6.822,3.361,-0.439,59.52,4.45,28.59,819.972,0.0,0.0,0.2031,0,11.77,0.8270000000000001
50,2020/12/20,10:04,145.499,4.30569,151.80116,6.899,0.054,-10.746,24.4,0.95,143.5,814.2919999999999,0.0,0.0,0.3115,3,32.62,0.2789999999999999
51,2020/12/28,18:42,-1.08693,-0.607336,257.37536,-3.57,-3.72,-3.82,97.9,0.0,0.0,812.834,0.0,1.0,0.0,0,84.71,0.924
52,2020/08/22,16:03,404.736,446.075,259.14259,33.35,13.869000000000002,-2.031,10.06,3.7,75.28,817.8969999999999,0.0,0.0,0.2346,0,138.16,0.068
53,2020/06/19,20:33,-1.14352,-0.103691,312.44847000000004,12.81,11.017,9.817,82.0,2.2,19.04,819.197,0.508,0.0,0.0,2,51.22,1.128
54,2020/12/17,05:23,-1.25268,0.098754,103.51905,2.955,-2.772,-13.972,23.99,5.45,258.0,813.74,0.0,0.0,0.0,7,56.5,0.2269999999999999
55,2020/04/14,04:25,-0.689275,0.593508,66.84779,-9.55,-10.92,-14.62,63.22,2.95,285.7,818.028,0.0,0.0,0.0,7,157.94,4.917
56,2020/11/28,00:41,-1.30447,0.0,35.11038,1.892,-3.1830000000000003,-12.983,28.33,3.95,279.4,819.293,0.0,0.0,0.0,6,102.16,5.756
57,2020/09/13,21:51,-1.38341,-0.192567,318.62563,18.31,8.085,-2.085,24.41,3.7,283.7,824.5169999999999,0.0,0.0,0.0,4,114.77,-0.045
58,2020/06/12,12:56,1002.89,968.67,219.36248,29.75,13.483,0.713,15.38,3.7,117.1,823.574,0.0,0.0,0.1623,6,80.18,1.464
59,2020/01/07,23:58,-0.872358,-0.2274929999999999,353.00587,4.755,-1.278,-11.378,26.75,3.7,275.1,815.625,0.0,0.0,0.0,8,59.88,0.462
60,2020/06/13,18:42,17.4839,-0.054314,294.31046000000003,22.66,13.154000000000002,6.854,36.04,0.0,0.0,815.0039999999999,0.0,0.0,0.1355,7,109.44,0.917
61,2020/05/30,07:59,582.784,836.5830000000001,90.80754,23.96,14.339,8.359,36.93,2.2,119.5,821.65,0.0,0.0,0.1862,0,121.0,0.871
62,2020/01/22,03:59,-0.940474,0.014837,84.87999,4.731,0.098,-6.102,42.65,2.95,280.4,810.53,0.0,0.0,0.0,7,127.39,0.442
63,2020/06/08,16:35,195.795,0.819649,275.75573,22.12,11.017,2.217,26.91,3.7,15.69,806.695,0.0,0.0,0.1781,0,67.66,0.921
64,2020/12/11,15:15,52.5577,0.301202,226.16445,-5.502000000000001,-6.079,-7.178999999999999,86.5,1.7,22.86,812.078,0.0,1.0,0.6791,7,83.78,2.675
65,2020/05/27,00:13,-1.17888,-0.197507,4.00643,16.88,9.497,3.407,40.56,1.95,287.1,817.4789999999999,0.0,0.0,0.0,4,154.09,0.994
66,2020/03/19,16:08,122.797,0.3956389999999999,249.64146,-1.35,-1.35,-1.35,100.0,3.7,359.0,816.8939999999999,13.72,1.0,0.9109,0,130.98,10.06
67,2020/09/06,21:11,-2.00131,-0.197505,309.73587000000003,26.69,10.792,-4.408,12.06,4.7,278.0,818.61,0.0,0.0,0.0,4,105.19,-0.213
68,2020/01/21,22:46,-0.820124,0.0,310.93636000000004,4.918,0.611,-4.789,47.12,0.95,298.6,810.169,0.0,0.0,0.0,0,17.65,0.4639999999999999
69,2020/01/24,05:34,-0.983059,-0.0544,99.2928,3.819,-1.034,-8.234,37.77,7.2,274.5,815.748,0.0,0.0,0.0,0,14.83,0.506
70,2020/01/31,16:46,54.3085,30.4593,242.64574,7.18,-0.37,-13.97,17.87,5.7,281.1,818.668,0.254,0.0,0.2134,0,164.37,0.491
71,2020/01/23,14:40,147.562,8.59525,217.4878,3.631,-1.499,-9.899,33.04,1.45,121.4,816.862,0.0,0.0,0.2057,0,125.06,0.389
72,2020/01/02,08:40,40.2445,9.65362,133.00371,0.603,-3.808,-12.208,33.35,0.95,262.1,807.2810000000001,0.0,0.0,0.1374,1,58.13,0.256
73,2020/01/28,01:05,-0.8360719999999999,-0.1236369999999999,31.12477,1.401,-3.386,-12.686,30.15,3.7,297.4,817.2460000000001,0.0,0.0,0.0,8,109.11,0.366
74,2020/08/22,08:01,369.545,363.796,100.25032,27.3,11.549,-2.521,13.65,2.95,269.7,818.8539999999999,0.0,0.0,0.2434,6,84.09,-0.214
75,2020/09/11,08:10,455.167,797.06,109.33529,11.64,7.752999999999999,4.553,61.73,3.2,23.98,818.97,0.0,0.0,0.2072,7,30.43,-0.27
76,2020/11/20,02:02,-1.39103,-0.182694,65.56002,3.076,-0.286,-4.586,54.58,0.0,0.0,823.919,0.0,0.0,0.0,3,23.28,0.148
77,2020/09/14,13:13,810.422,956.185,210.34546,29.34,12.097,-3.483,11.18,4.2,58.45,823.585,0.0,0.0,0.1864,6,137.58,0.1119999999999999
78,2020/11/24,11:13,203.933,0.987544,170.74871000000002,-1.31,-2.4330000000000003,-3.833,80.9,2.2,276.2,813.757,2.286,0.1,1.1226,0,41.33,12.55
79,2020/06/18,01:47,-1.23104,-0.246883,26.02763,13.75,7.29,1.19,42.33,1.7,101.1,818.067,0.0,0.0,0.0,2,27.14,0.423
80,2020/06/25,01:56,-1.5248,-0.197506,27.758090000000003,21.31,11.082,3.002,29.9,3.45,264.4,815.078,0.0,0.0,0.0,0,56.51,0.883
81,2020/11/02,07:58,233.902,825.3919999999999,123.7951,15.53,4.432,-11.268,13.13,3.2,284.2,827.4860000000001,0.0,0.0,0.2624,0,66.9,-0.064
82,2020/03/14,07:52,63.5914,0.811055,108.6977,-1.568,-1.568,-1.568,100.0,1.2,101.9,816.832,0.0,0.0,0.1787,0,83.48,0.841
83,2020/02/09,21:20,-0.773925,0.2967309999999999,290.80954,-6.38,-7.434,-9.434,76.54,0.95,261.3,814.6410000000001,4.3180000000000005,0.0,0.0,0,141.44,17.06
84,2020/01/20,14:10,453.724,605.5880000000001,210.52351,9.44,0.489,-16.111,12.57,1.2,74.54,823.071,0.0,0.0,0.2292,6,32.3,0.457
85,2020/01/22,06:35,-0.898919,-0.004945,108.82323999999998,4.888999999999999,-0.024,-6.724,39.97,4.95,282.5,810.883,0.0,0.0,0.0,0,13.76,0.36
86,2020/02/13,02:18,-0.856658,-0.321459,54.49593,-8.13,-8.394,-8.894,93.5,0.0,0.0,814.502,0.0,0.0,0.0,8,40.11,21.09
87,2020/04/14,20:18,-0.8838379999999999,-0.123645,300.92091,3.488,-1.838,-10.738,30.97,2.2,257.7,815.717,0.0,0.0,0.0,0,96.71,0.956
88,2020/02/03,12:59,157.291,1.18692,192.7171,-7.829,-8.156,-8.656,93.0,3.45,35.78,806.1110000000001,0.0,1.0,0.7448,4,142.01,2.416
89,2020/07/30,12:20,1016.08,902.601,188.29992,25.43,15.88,10.58,39.28,3.95,78.74,823.217,0.0,0.0,0.1676,7,82.39,0.474
90,2020/02/25,12:09,476.408,47.3083,178.42981,-5.27,-7.642,-13.142,49.85,9.45,28.57,824.1339999999999,0.0,0.0,0.236,0,107.43,3.4210000000000003
91,2020/12/25,22:21,-1.3778700000000002,-0.2962599999999999,300.23626,6.662999999999999,-0.642,-13.642,19.08,4.45,289.1,815.049,0.0,0.0,0.0,8,76.19,0.384
92,2020/12/30,13:30,443.215,970.166,201.76029,4.887,-1.483,-12.983,22.92,1.2,134.8,814.237,0.0,0.0,0.5315,1,44.53,3.894
93,2020/02/15,03:56,-0.827836,-0.8456809999999999,77.00809,-4.121,-4.743,-5.843,86.3,0.0,0.0,815.295,0.0,0.0,0.0,4,101.63,14.11
94,2020/06/02,09:41,852.279,521.286,110.51819,27.24,13.103,2.503,20.23,4.2,48.35,820.4689999999999,0.0,0.0,0.1821,3,54.75,1.255
95,2020/08/26,18:45,3.8342,-0.009875,284.46509,22.21,14.893,10.793,48.35,0.0,0.0,818.8480000000001,0.0,0.0,0.0,7,115.73,-0.165
96,2020/05/19,21:41,-1.21147,0.0,325.35426,19.56,11.364,5.374,39.35,5.95,166.6,812.727,0.0,0.0,0.0,0,109.17,0.934
97,2020/07/19,14:32,780.322,453.257,249.0505,29.58,14.303,3.703,19.23,3.2,160.3,818.341,0.0,0.0,0.1767,6,61.64,1.017
98,2020/04/29,20:09,-1.14606,-0.356088,303.20981,15.89,6.473,-3.527,25.2,1.7,303.4,820.794,0.0,0.0,0.0,3,126.77,0.775
99,2020/09/14,18:18,-0.017287,-1.03197,275.77491000000003,23.62,10.91,-0.16,20.67,3.2,75.26,822.2539999999999,0.0,0.0,0.0,6,27.95,-0.225
100,2020/07/06,22:54,-1.46754,-0.56289,341.64121,22.29,12.293,5.103,32.65,1.7,222.3,818.548,0.0,0.0,0.0,0,37.03,0.727
101,2020/08/04,22:06,-1.33126,-0.059252,327.38498,20.84,15.345,12.365,58.34,0.95,16.72,821.125,0.0,0.0,0.0,0,59.37,-0.127
102,2020/02/28,18:48,-1.0264799999999998,-0.331345,269.46265,8.04,0.773,-10.127,23.85,1.7,259.6,821.564,0.0,0.0,0.0,0,76.87,0.639
103,2020/02/14,02:26,-1.56056,1.7804,56.52456,3.333,-1.335,-8.535,38.07,1.95,280.3,812.7339999999999,0.0,0.0,0.0,8,37.24,19.91
104,2020/05/02,16:06,164.326,0.5044529999999999,264.66449,14.58,10.638,7.938,64.36,2.95,97.7,816.7180000000001,0.0,0.0,0.1829,4,52.18,1.138
105,2020/04/24,13:17,42.462,-5.78645,218.45612000000003,9.32,5.702999999999999,2.303,61.47,5.95,19.77,817.847,0.254,1.0,0.1529,0,63.31,0.939
106,2020/05/13,05:50,53.6353,0.484671,74.45344,12.99,4.426,-5.674,25.31,3.45,268.1,808.9960000000001,0.0,0.0,0.1868,8,99.24,1.119
107,2020/07/20,14:05,888.135,889.7439999999999,241.23367,31.59,15.314,4.513999999999999,18.15,4.2,24.56,817.117,0.0,0.0,0.1843,0,171.17,0.861
108,2020/02/08,21:25,-0.281502,-1.1424,291.62717999999995,0.251,-0.96,-2.36,80.7,3.45,76.94,808.5989999999999,11.43,0.0,0.0,4,106.41,14.29
109,2020/04/23,13:13,469.648,31.0839,216.4487,16.13,6.172999999999999,-4.827,22.22,5.2,286.4,810.7330000000001,0.0,0.0,0.1759,0,83.17,1.112
110,2020/06/27,04:40,4.56516,6.86335,59.05639,16.77,9.54,3.64,41.52,4.7,286.8,816.2589999999999,0.0,0.0,0.0,8,89.04,0.978
111,2020/10/07,05:10,-1.80573,-0.291321,88.33516,15.33,4.627,-9.773,15.2,1.45,289.1,820.778,0.0,0.0,0.0,0,110.92,-0.374
112,2020/11/04,21:10,-1.6544599999999998,-0.212319,294.3582,16.25,6.987,-2.7030000000000003,26.4,4.45,286.2,825.451,0.0,0.0,0.0,0,63.49,0.047
113,2020/08/12,06:55,283.316,710.2610000000001,86.17401,19.35,10.185,2.785,33.23,1.45,99.1,819.8710000000001,0.0,0.0,0.2439,0,61.64,-0.449
114,2020/05/25,14:37,946.42,619.678,253.17345,14.88,8.16,2.16,42.18,2.7,85.9,818.0160000000001,0.508,0.0,0.1814,0,143.44,1.372
115,2020/02/11,12:38,692.433,1035.25,186.92509,-0.492,-3.749,-9.549,46.05,2.95,124.2,814.117,4.8260000000000005,0.0,0.8257,0,93.99,25.51
116,2020/10/29,01:00,-1.28652,0.153068,37.75294,2.228,-0.163,-3.1630000000000003,65.42,2.7,282.8,821.403,0.0,0.0,0.0,0,59.34,0.1119999999999999
117,2020/08/02,09:44,674.184,383.797,115.32407,22.67,15.472,11.482,49.22,3.7,57.71,823.194,0.0,0.0,0.1717,1,116.6,0.364
118,2020/12/29,07:15,1.1261,0.686349,118.98019,-2.8760000000000003,-3.628,-4.628,86.2,3.45,285.7,806.921,0.0,1.0,0.0,6,101.33,4.821000000000001
119,2020/09/19,20:06,-1.58816,-0.197497,293.26678,21.32,9.655,-1.045,22.09,2.7,286.3,816.312,0.0,0.0,0.0,7,54.92,-0.145
120,2020/05/24,00:56,-1.03423,-0.217259,15.454679999999998,9.79,7.077000000000001,4.877,71.43,0.0,0.0,814.717,0.0,0.0,0.0,0,52.21,0.973
121,2020/08/22,02:00,-1.7903099999999998,-0.197506,34.208459999999995,23.35,10.297,-1.5830000000000002,18.67,3.2,287.1,817.712,0.0,0.0,0.0,8,125.76,-0.3429999999999999
122,2020/05/23,03:00,-1.10109,-0.2913239999999999,44.09374,12.86,4.82,-4.28,28.76,0.95,258.4,809.6060000000001,0.0,0.0,0.0,6,45.78,0.841
123,2020/11/10,03:34,-1.2159799999999998,0.735714,82.88104,-5.143,-5.593,-6.393,89.8,1.45,280.0,808.951,0.0,0.0,0.0,0,17.5,3.382
124,2020/04/29,23:42,-0.972322,-0.321466,355.29375,12.59,5.167999999999999,-2.832,33.09,2.45,300.9,819.46,0.0,0.0,0.0,1,130.82,1.04
125,2020/06/14,20:14,-1.58306,-0.207382,309.15937,25.11,9.666,-6.134,11.42,3.7,291.1,814.443,0.0,0.0,0.0,9,133.73,0.665
126,2020/01/08,23:26,-0.8879520000000001,0.103854,330.28427,2.714,-1.959,-9.559,36.34,5.2,302.1,805.7330000000001,0.0,0.0,0.0,3,35.29,0.38
127,2020/08/09,23:25,-1.70258,-0.0345629999999999,348.04526,24.87,9.882,-5.018,12.75,0.95,308.0,818.79,0.0,0.0,0.0,4,161.98,-0.475
128,2020/10/28,06:45,40.2382,362.169,109.92736,3.045,-0.024,-3.914,57.92,3.45,288.0,816.422,0.0,0.0,0.8235,0,33.24,5.527
129,2020/12/26,06:02,-1.4661799999999998,-0.222196,108.42083999999998,8.49,0.069,-15.431,14.28,0.0,0.0,812.184,0.0,0.0,0.0,2,59.2,0.498
130,2020/03/13,22:52,-0.624943,-0.039564,329.75562,-0.795,-1.206,-1.706,92.7,1.95,14.33,812.568,0.254,0.0,0.0,0,111.07,0.785
131,2020/11/18,15:49,129.298,594.51,236.16141,19.11,7.787000000000001,-3.903,19.92,1.95,22.59,811.957,0.0,0.0,0.2825,0,158.26,0.19
132,2020/02/01,04:30,-0.945034,-0.2126559999999999,87.25105,8.23,1.982,-6.018,33.75,7.95,273.4,818.795,0.0,0.0,0.0,0,135.06,0.455
133,2020/05/17,10:34,955.046,919.914,132.46668,16.53,10.336,5.736000000000001,48.82,2.7,66.07,817.697,0.0,0.0,0.1494,7,106.48,1.3259999999999998
134,2020/10/13,14:19,534.15,934.44,225.11954,22.01,8.948,-4.052,16.45,2.2,90.1,817.818,0.0,0.0,0.2339,3,139.8,0.03
135,2020/10/09,22:14,-1.82953,-0.296256,321.23907,17.08,6.35,-5.85,19.16,2.7,287.9,817.574,0.0,0.0,0.0,7,60.09,-0.332
136,2020/02/24,15:58,336.417,887.0089999999999,239.70851,0.47,-4.54,-15.94,23.9,6.45,287.7,813.721,0.0,0.0,0.2737,0,158.72,4.021
137,2020/09/16,19:01,-1.50298,-0.212319,282.33306,17.58,9.953,3.763,39.79,1.45,290.2,825.4739999999999,0.0,0.0,0.0,1,119.66,-0.032
138,2020/07/23,06:33,131.08100000000002,5.09072,78.25375,23.47,12.827,5.337000000000001,30.9,1.7,279.9,818.422,0.0,0.0,0.2145,0,64.8,0.816
139,2020/03/29,04:55,-0.8554780000000001,-0.0939639999999999,75.72889,2.035,-2.713,-11.213,32.91,3.7,289.4,816.539,0.0,0.0,0.0,7,45.21,0.772
140,2020/08/20,16:31,123.838,0.148128,264.52389,27.4,15.207,7.807,29.01,1.2,255.4,816.413,0.0,0.0,0.1827,8,123.28,-0.163
141,2020/08/17,00:09,-1.6097,-0.0987519999999999,1.30501,21.01,11.894,5.294,35.78,1.45,285.1,826.6110000000001,0.0,0.0,0.0,8,130.27,-0.206
142,2020/10/16,12:24,692.789,924.586,192.2845,17.71,6.393,-6.807,16.95,2.7,262.8,816.4689999999999,0.0,0.0,0.218,6,54.17,-0.127
143,2020/03/16,18:09,1.34751,-0.262107,269.04578,6.391,3.533,0.433,65.61,4.7,34.69,818.547,0.0,0.0,0.0,1,36.67,0.7809999999999999
144,2020/06/29,15:14,436.068,45.8015,261.97051,30.49,13.587,0.787,14.82,3.95,124.1,807.1519999999999,0.0,0.0,0.182,0,78.26,1.0590000000000002
145,2020/06/05,15:52,182.135,1.41216,268.90918,29.76,13.636,1.536,16.31,4.7,119.2,814.93,0.0,0.0,0.1669,3,80.42,0.879
146,2020/03/15,16:20,209.482,211.117,250.42614,10.68,5.392,-0.108,47.11,2.45,49.23,817.13,0.0,0.0,0.1892,0,16.82,1.023
147,2020/09/20,11:51,369.978,3.5697400000000004,178.86594,22.41,12.969,6.569,35.88,1.2,109.3,819.581,0.0,0.0,0.1857,3,125.28,0.135
148,2020/10/07,12:35,714.953,834.533,196.00458,25.66,9.685,-7.415,9.89,2.45,122.6,820.307,0.0,0.0,0.2138,1,156.74,0.294
149,2020/08/10,17:27,81.6833,1.54054,275.83188,26.98,15.543,8.843,31.9,2.95,21.69,818.5060000000001,0.0,0.0,0.1528,2,74.44,-0.23
150,2020/12/22,19:38,-0.792117,0.08394,265.75357,2.43,-0.951,-5.4510000000000005,53.07,13.2,256.3,802.034,0.0,0.0,0.0,4,112.31,0.446
151,2020/12/23,21:52,-0.982125,0.172819,291.4599,-4.83,-8.421,-19.521,26.43,6.95,282.9,818.082,0.0,0.0,0.0,3,117.83,0.26
152,2020/05/28,05:21,25.3265,0.582647,67.58539,11.63,9.865,8.665,82.0,0.0,0.0,823.428,0.0,0.0,0.1593,0,53.73,1.107
153,2020/12/27,10:54,464.365,989.596,162.7369,4.836,-1.455,-12.655,23.7,4.7,277.3,814.5169999999999,0.0,0.0,0.2401,3,110.95,0.37
154,2020/01/04,23:28,-0.7840060000000001,-0.4005829999999999,332.08042,7.495,0.521,-10.179,24.64,13.2,270.2,818.337,0.0,0.0,0.0,0,29.15,0.316
155,2020/10/24,22:04,-1.07871,-0.330821,314.03884,-1.528,-2.854,-4.754,76.17,3.95,25.56,815.3839999999999,0.508,0.0,0.0,8,166.35,0.036
156,2020/06/29,07:23,606.265,807.296,83.09746,22.75,11.428,2.628,26.67,0.0,0.0,807.534,0.0,0.0,0.2168,8,162.9,0.8640000000000001
157,2020/09/21,14:08,247.018,1.58986,226.32783,27.23,12.335,0.135,17.07,1.95,20.07,819.72,0.0,0.0,0.1654,0,153.04,0.095
158,2020/08/04,06:08,63.7547,1.83185,76.94078,19.25,12.388,7.797999999999999,47.41,1.95,14.67,818.4169999999999,0.0,0.0,0.1781,0,84.9,-0.141
159,2020/10/22,02:37,-1.83752,-0.2616949999999999,65.23047,14.57,3.919,-10.781,14.59,1.95,273.7,808.67,0.0,0.0,0.0,0,64.22,-0.207
